month,price_bucket,ticket_tier_count,sold_out_count
2025-03,"(5000000,10000000]",11,9
2025-03,(blank),3,3
2025-04,"(0,100000]",5,0
2025-04,"(100000,500000]",64,8
2025-04,"(1000000,5000000]",106,62
2025-04,"(500000,1000000]",67,31
2025-04,"(5000000,10000000]",4,4
2025-04,(blank),2,0
2025-05,"(0,100000]",3,0
2025-05,"(100000,500000]",79,26
2025-05,"(1000000,5000000]",144,95
2025-05,"(20000000,+inf)",1,0
2025-05,"(500000,1000000]",118,73
2025-05,"(5000000,10000000]",13,12
2025-05,(blank),2,2
2025-06,"(0,100000]",19,8
2025-06,"(100000,500000]",140,36
2025-06,"(1000000,5000000]",124,81
2025-06,"(10000000,20000000]",1,0
2025-06,"(500000,1000000]",110,34
2025-06,"(5000000,10000000]",16,6
2025-06,(blank),11,0
2025-07,"(0,100000]",7,1
2025-07,"(100000,500000]",124,37
2025-07,"(1000000,5000000]",111,40
2025-07,"(500000,1000000]",100,30
2025-07,"(5000000,10000000]",6,0
2025-07,(blank),9,5
2025-08,"(0,100000]",20,1
2025-08,"(100000,500000]",111,30
2025-08,"(1000000,5000000]",207,136
2025-08,"(10000000,20000000]",1,0
2025-08,"(500000,1000000]",117,56
2025-08,"(5000000,10000000]",9,7
2025-08,(blank),6,0
2025-09,"(0,100000]",14,0
2025-09,"(100000,500000]",102,24
2025-09,"(1000000,5000000]",122,69
2025-09,"(10000000,20000000]",1,0
2025-09,"(500000,1000000]",89,39
2025-09,"(5000000,10000000]",5,4
2025-09,(blank),11,5
2025-10,"(0,100000]",8,2
2025-10,"(100000,500000]",106,22
2025-10,"(1000000,5000000]",127,76
2025-10,"(10000000,20000000]",2,0
2025-10,"(20000000,+inf)",1,0
2025-10,"(500000,1000000]",98,29
2025-10,"(5000000,10000000]",10,5
2025-10,(blank),13,10
2025-11,"(0,100000]",10,1
2025-11,"(100000,500000]",47,11
2025-11,"(1000000,5000000]",157,91
2025-11,"(10000000,20000000]",3,1
2025-11,"(500000,1000000]",80,28
2025-11,"(5000000,10000000]",20,16
2025-11,(blank),8,1
2025-12,"(0,100000]",8,2
2025-12,"(100000,500000]",98,23
2025-12,"(1000000,5000000]",122,83
2025-12,"(10000000,20000000]",1,0
2025-12,"(500000,1000000]",79,32
2025-12,"(5000000,10000000]",5,2
2025-12,(blank),7,2
2026-01,"(0,100000]",27,2
2026-01,"(100000,500000]",77,10
2026-01,"(1000000,5000000]",190,102
2026-01,"(20000000,+inf)",1,0
2026-01,"(500000,1000000]",80,31
2026-01,"(5000000,10000000]",13,12
2026-01,(blank),7,2
2026-02,"(0,100000]",6,2
2026-02,"(100000,500000]",47,15
2026-02,"(1000000,5000000]",37,11
2026-02,"(500000,1000000]",20,4
2026-02,(blank),2,0
2026-03,"(0,100000]",6,4
2026-03,"(100000,500000]",70,22
2026-03,"(1000000,5000000]",162,110
2026-03,"(500000,1000000]",85,50
2026-03,"(5000000,10000000]",6,0
2026-03,(blank),2,1
2026-04,"(0,100000]",10,0
2026-04,"(100000,500000]",102,17
2026-04,"(1000000,5000000]",219,109
2026-04,"(10000000,20000000]",2,2
2026-04,"(500000,1000000]",84,42
2026-04,"(5000000,10000000]",11,9
2026-04,(blank),12,2
2026-05,"(0,100000]",15,1
2026-05,"(100000,500000]",285,34
2026-05,"(1000000,5000000]",88,31
2026-05,"(10000000,20000000]",1,0
2026-05,"(500000,1000000]",100,36
2026-05,(blank),10,0
2026-06,"(100000,500000]",621,3
2026-06,"(1000000,5000000]",111,1
2026-06,"(500000,1000000]",38,0
2026-06,(blank),12,0
2026-07,"(100000,500000]",86,0
2026-07,(blank),13,0
