month,price_bucket,price_bucket_pretty,ticket_tier_count,sold_out_count
2024-07,"(100000,500000]",100k - 500k,85,10
2024-07,"(500000,1000000]",500k - 1M,71,10
2024-07,"(1000000,5000000]",1M - 5M,56,22
2024-07,"(5000000,10000000]",5M - 10M,1,0
2024-08,"(0,100000]",<= 100k,6,0
2024-08,"(100000,500000]",100k - 500k,106,19
2024-08,"(500000,1000000]",500k - 1M,66,14
2024-08,"(1000000,5000000]",1M - 5M,69,28
2024-09,(blank),Free / 0 VND,4,0
2024-09,"(0,100000]",<= 100k,7,0
2024-09,"(100000,500000]",100k - 500k,88,19
2024-09,"(500000,1000000]",500k - 1M,52,10
2024-09,"(1000000,5000000]",1M - 5M,80,31
2024-09,"(5000000,10000000]",5M - 10M,2,2
2024-10,(blank),Free / 0 VND,3,0
2024-10,"(0,100000]",<= 100k,5,1
2024-10,"(100000,500000]",100k - 500k,58,12
2024-10,"(500000,1000000]",500k - 1M,82,26
2024-10,"(1000000,5000000]",1M - 5M,71,29
2024-10,"(5000000,10000000]",5M - 10M,4,3
2024-11,"(0,100000]",<= 100k,6,0
2024-11,"(100000,500000]",100k - 500k,62,18
2024-11,"(500000,1000000]",500k - 1M,80,13
2024-11,"(1000000,5000000]",1M - 5M,70,13
2024-11,"(5000000,10000000]",5M - 10M,4,0
2024-11,"(10000000,20000000]",10M - 20M,1,0
2024-12,"(0,100000]",<= 100k,11,2
2024-12,"(100000,500000]",100k - 500k,85,23
2024-12,"(500000,1000000]",500k - 1M,115,54
2024-12,"(1000000,5000000]",1M - 5M,171,85
2024-12,"(5000000,10000000]",5M - 10M,16,5
2025-01,(blank),Free / 0 VND,1,0
2025-01,"(0,100000]",<= 100k,3,0
2025-01,"(100000,500000]",100k - 500k,34,4
2025-01,"(500000,1000000]",500k - 1M,35,5
2025-01,"(1000000,5000000]",1M - 5M,40,5
2025-01,"(5000000,10000000]",5M - 10M,3,3
2025-02,(blank),Free / 0 VND,3,0
2025-02,"(0,100000]",<= 100k,4,0
2025-02,"(100000,500000]",100k - 500k,48,25
2025-02,"(500000,1000000]",500k - 1M,59,27
2025-02,"(1000000,5000000]",1M - 5M,78,42
2025-02,"(5000000,10000000]",5M - 10M,4,2
2025-03,(blank),Free / 0 VND,3,3
2025-03,"(0,100000]",<= 100k,3,1
2025-03,"(100000,500000]",100k - 500k,48,11
2025-03,"(500000,1000000]",500k - 1M,58,32
2025-03,"(1000000,5000000]",1M - 5M,140,91
2025-03,"(5000000,10000000]",5M - 10M,11,9
2025-03,"(10000000,20000000]",10M - 20M,1,1
2025-04,(blank),Free / 0 VND,2,0
2025-04,"(0,100000]",<= 100k,5,0
2025-04,"(100000,500000]",100k - 500k,64,8
2025-04,"(500000,1000000]",500k - 1M,67,31
2025-04,"(1000000,5000000]",1M - 5M,106,62
2025-04,"(5000000,10000000]",5M - 10M,4,4
2025-05,(blank),Free / 0 VND,2,2
2025-05,"(0,100000]",<= 100k,3,0
2025-05,"(100000,500000]",100k - 500k,79,26
2025-05,"(500000,1000000]",500k - 1M,118,73
2025-05,"(1000000,5000000]",1M - 5M,144,95
2025-05,"(5000000,10000000]",5M - 10M,13,12
2025-05,"(20000000,+inf)",> 20M,1,0
2025-06,(blank),Free / 0 VND,11,0
2025-06,"(0,100000]",<= 100k,19,8
2025-06,"(100000,500000]",100k - 500k,140,36
2025-06,"(500000,1000000]",500k - 1M,110,34
2025-06,"(1000000,5000000]",1M - 5M,124,81
2025-06,"(5000000,10000000]",5M - 10M,16,6
2025-06,"(10000000,20000000]",10M - 20M,1,0
2025-07,(blank),Free / 0 VND,9,5
2025-07,"(0,100000]",<= 100k,7,1
2025-07,"(100000,500000]",100k - 500k,124,37
2025-07,"(500000,1000000]",500k - 1M,100,30
2025-07,"(1000000,5000000]",1M - 5M,111,40
2025-07,"(5000000,10000000]",5M - 10M,6,0
2025-08,(blank),Free / 0 VND,6,0
2025-08,"(0,100000]",<= 100k,20,1
2025-08,"(100000,500000]",100k - 500k,111,30
2025-08,"(500000,1000000]",500k - 1M,117,56
2025-08,"(1000000,5000000]",1M - 5M,207,136
2025-08,"(5000000,10000000]",5M - 10M,9,7
2025-08,"(10000000,20000000]",10M - 20M,1,0
2025-09,(blank),Free / 0 VND,11,5
2025-09,"(0,100000]",<= 100k,14,0
2025-09,"(100000,500000]",100k - 500k,102,24
2025-09,"(500000,1000000]",500k - 1M,89,39
2025-09,"(1000000,5000000]",1M - 5M,122,69
2025-09,"(5000000,10000000]",5M - 10M,5,4
2025-09,"(10000000,20000000]",10M - 20M,1,0
2025-10,(blank),Free / 0 VND,13,10
2025-10,"(0,100000]",<= 100k,8,2
2025-10,"(100000,500000]",100k - 500k,106,22
2025-10,"(500000,1000000]",500k - 1M,98,29
2025-10,"(1000000,5000000]",1M - 5M,127,76
2025-10,"(5000000,10000000]",5M - 10M,10,5
2025-10,"(10000000,20000000]",10M - 20M,2,0
2025-10,"(20000000,+inf)",> 20M,1,0
2025-11,(blank),Free / 0 VND,8,1
2025-11,"(0,100000]",<= 100k,10,1
2025-11,"(100000,500000]",100k - 500k,47,11
2025-11,"(500000,1000000]",500k - 1M,80,28
2025-11,"(1000000,5000000]",1M - 5M,157,91
2025-11,"(5000000,10000000]",5M - 10M,20,16
2025-11,"(10000000,20000000]",10M - 20M,3,1
2025-12,(blank),Free / 0 VND,7,2
2025-12,"(0,100000]",<= 100k,8,2
2025-12,"(100000,500000]",100k - 500k,98,23
2025-12,"(500000,1000000]",500k - 1M,79,32
2025-12,"(1000000,5000000]",1M - 5M,122,83
2025-12,"(5000000,10000000]",5M - 10M,5,2
2025-12,"(10000000,20000000]",10M - 20M,1,0
2026-01,(blank),Free / 0 VND,7,2
2026-01,"(0,100000]",<= 100k,27,2
2026-01,"(100000,500000]",100k - 500k,77,10
2026-01,"(500000,1000000]",500k - 1M,80,31
2026-01,"(1000000,5000000]",1M - 5M,190,102
2026-01,"(5000000,10000000]",5M - 10M,13,12
2026-01,"(20000000,+inf)",> 20M,1,0
2026-02,(blank),Free / 0 VND,2,0
2026-02,"(0,100000]",<= 100k,6,2
2026-02,"(100000,500000]",100k - 500k,47,15
2026-02,"(500000,1000000]",500k - 1M,20,4
2026-02,"(1000000,5000000]",1M - 5M,37,11
2026-03,(blank),Free / 0 VND,2,1
2026-03,"(0,100000]",<= 100k,6,4
2026-03,"(100000,500000]",100k - 500k,70,22
2026-03,"(500000,1000000]",500k - 1M,85,50
2026-03,"(1000000,5000000]",1M - 5M,162,110
2026-03,"(5000000,10000000]",5M - 10M,6,0
2026-04,(blank),Free / 0 VND,12,2
2026-04,"(0,100000]",<= 100k,10,0
2026-04,"(100000,500000]",100k - 500k,102,17
2026-04,"(500000,1000000]",500k - 1M,84,42
2026-04,"(1000000,5000000]",1M - 5M,219,109
2026-04,"(5000000,10000000]",5M - 10M,11,9
2026-04,"(10000000,20000000]",10M - 20M,2,2
2026-05,(blank),Free / 0 VND,10,0
2026-05,"(0,100000]",<= 100k,15,1
2026-05,"(100000,500000]",100k - 500k,285,34
2026-05,"(500000,1000000]",500k - 1M,100,36
2026-05,"(1000000,5000000]",1M - 5M,88,31
2026-05,"(10000000,20000000]",10M - 20M,1,0
2026-06,(blank),Free / 0 VND,12,0
2026-06,"(100000,500000]",100k - 500k,621,3
2026-06,"(500000,1000000]",500k - 1M,38,0
2026-06,"(1000000,5000000]",1M - 5M,111,1
2026-07,(blank),Free / 0 VND,13,0
2026-07,"(100000,500000]",100k - 500k,86,0
